Datum + Uhrzeit,Durchfluss Zähler Fernwärme (m³/h),Durchfluss Wasserzähler TWE (m³/h),Durchfluss m³ Zähler Zirkulation (m³/h)
18.12.2024 11:50,"2,93",0,"0,61"
18.12.2024 11:55,"2,59",0,"0,6"
18.12.2024 12:00,"2,48",0,"0,61"
18.12.2024 12:05,"2,42",0,"0,6"
18.12.2024 12:10,"2,28",0,"0,6"
18.12.2024 12:15,"2,13",0,"0,61"
18.12.2024 12:20,"2,08",0,"0,6"
18.12.2024 12:25,"1,99",0,"0,59"
18.12.2024 12:30,"1,93",0,"0,6"
18.12.2024 12:35,"1,87",0,"0,6"
18.12.2024 12:40,"1,9",0,"0,6"
18.12.2024 12:45,"2,02",0,"0,6"
18.12.2024 12:50,"2,14",0,"0,6"
18.12.2024 12:55,"2,16",0,"0,6"
18.12.2024 13:00,"4,15",0,"0,61"
18.12.2024 13:05,"4,46",0,"0,6"
18.12.2024 13:10,"4,78",0,"0,61"
18.12.2024 13:15,"4,99",0,"0,6"
18.12.2024 13:20,"3,55",0,"0,6"
18.12.2024 13:25,"2,52",0,"0,6"
18.12.2024 13:30,"2,16",0,"0,59"
18.12.2024 13:50,"1,73",0,"0,6"
18.12.2024 13:55,"1,7",0,"0,59"
18.12.2024 14:00,"1,87",0,"0,6"
18.12.2024 14:05,"2,09",0,"0,6"
18.12.2024 14:10,"2,23",0,"0,61"
18.12.2024 14:15,"2,4",0,"0,6"
18.12.2024 14:20,"2,42",0,"0,6"
18.12.2024 14:25,"2,4",0,"0,6"
18.12.2024 14:30,"2,38",0,"0,6"
18.12.2024 14:35,"5,6",0,"0,6"
18.12.2024 14:40,"4,27",0,"0,59"
18.12.2024 14:45,"4,75",0,"0,6"
18.12.2024 14:50,"5,02",0,"0,61"
18.12.2024 14:55,"5,08",0,"0,6"
18.12.2024 15:00,"3,46",0,"0,6"
18.12.2024 15:05,"3,16",0,"0,6"
18.12.2024 15:10,"2,62",0,"0,61"
18.12.2024 15:15,"2,36",0,"0,61"
18.12.2024 15:20,"2,22",0,"0,6"
18.12.2024 15:25,"2,14",0,"0,6"
18.12.2024 15:30,"2,11",0,"0,6"
18.12.2024 15:35,"2,04",0,"0,6"
18.12.2024 15:40,"2,02",0,"0,61"
18.12.2024 15:45,"2,16",0,"0,6"
18.12.2024 15:50,"2,3",0,"0,59"
18.12.2024 15:55,"2,39",0,"0,6"
18.12.2024 16:00,"2,57",0,"0,6"
18.12.2024 16:05,"2,54",0,"0,6"
18.12.2024 16:10,"2,54",0,"0,59"
18.12.2024 16:15,"2,78",0,"0,6"
18.12.2024 16:20,"4,32",0,"0,6"
18.12.2024 16:25,"4,68",0,"0,6"
18.12.2024 16:30,"5,03",0,"0,6"
18.12.2024 16:35,"5,23",0,"0,6"
18.12.2024 16:40,"5,02",0,"0,6"
18.12.2024 16:45,"4,03",0,"0,6"
18.12.2024 16:50,"3,6",0,"0,59"
18.12.2024 16:55,"2,78",0,"0,59"
18.12.2024 17:00,"2,45",0,"0,6"
18.12.2024 17:05,"2,14",0,"0,6"
18.12.2024 17:10,"2,04",0,"0,6"
18.12.2024 17:15,"2,04",0,"0,6"
18.12.2024 17:35,"2,45",0,"0,6"
18.12.2024 17:40,"2,71",0,"0,61"
18.12.2024 17:45,3,0,"0,6"
18.12.2024 17:50,"2,9",0,"0,6"
18.12.2024 17:55,"2,83",0,"0,6"
18.12.2024 18:00,"2,61",0,"0,6"
18.12.2024 18:05,"2,64",0,"0,6"
18.12.2024 18:10,"4,11",0,"0,6"
18.12.2024 18:15,"4,59",0,"0,6"
18.12.2024 18:20,"5,04",0,"0,61"
18.12.2024 18:25,"5,13",0,"0,6"
18.12.2024 18:30,"4,25",0,"0,6"
18.12.2024 18:35,"3,54",0,"0,6"
18.12.2024 18:40,"2,76",0,"0,6"
18.12.2024 18:45,"2,59",0,"0,6"
18.12.2024 18:50,"2,33",0,"0,6"
18.12.2024 18:55,"2,27",0,"0,6"
18.12.2024 19:00,"2,22",0,"0,61"
18.12.2024 19:05,"2,11",0,"0,6"
18.12.2024 19:10,"2,18",0,"0,6"
18.12.2024 19:15,"2,24",0,"0,6"
